Modelo,Recall,Precision,F1,AUC-ROC,AUC-PR,Threshold
CatBoost,0.966822187662001,0.24662787622322138,0.39300389843009165,0.8334536861353058,0.5905042731332433,0.22
Logistic Regression,0.9580093312597201,0.2550372619376208,0.40283378746594006,0.8272015057843843,0.5767404436794802,0.19
LightGBM,0.9673405909797823,0.24199195953832187,0.3871369294605809,0.8278988327447991,0.570155454028751,0.13
Random Forest,0.9730430274753759,0.24064102564102563,0.38585671703155516,0.8224710112872176,0.5551065496025103,0.19
XGBoost,0.9906687402799378,0.20722186076772933,0.3427495291902072,0.81016805207256,0.5402729756862683,0.04
